FID IID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10
184 027_S_0461 0.0127521 0.00954987 0.00227641 0.0133862 -0.0133243 -0.0138717 0.0054711 -0.0107015 0.00117536 -0.00677194
186 041_S_1260 -0.00944522 0.0047693 -0.0013003 0.00145023 0.014055 -0.004815 -0.00192572 -0.00366821 0.011139 0.00194133
187 126_S_0506 0.00695393 -0.00498559 -0.00917085 -0.00143622 0.00289958 -0.00099636 0.00465495 -0.00654207 0.00474716 -0.00583715
189 023_S_0963 0.00154857 -0.00659504 -0.00458926 -0.00330839 -0.0100068 0.00962889 0.00691762 0.0102135 0.00493551 0.00123384
193 031_S_0618 -0.00255396 0.00404543 -0.012112 -0.0147947 -0.00339547 -0.00564175 -0.0055118 -0.00587324 0.000443293 -0.00866916
194 033_S_1308 0.0116846 0.00991945 0.00659008 -0.00118544 0.00319018 -0.00627024 0.00841148 -0.011998 -0.0208901 -0.00461353
195 023_S_0926 -0.0038176 -0.000684803 -0.00498246 0.00182823 -0.00026254 -0.0120722 -0.0113814 0.000450655 -0.0025174 0.0120128
196 037_S_0454 0.015118 -0.00509238 0.000160297 -0.000966305 0.00213766 0.00741151 -0.00499824 -0.00372094 -0.000981492 -0.000387116
198 126_S_1221 -0.000896074 0.000848383 -0.00143446 -0.0122877 -0.0149839 -0.0157884 -0.0144567 0.00416629 -0.000983528 0.014759
199 012_S_0634 -0.0172971 -0.0207204 0.0112315 -0.00138682 -0.0021802 -0.00583428 0.00477943 0.00747958 0.00850831 0.0105744
200 100_S_0047 -0.0117048 -0.000796585 -0.0189321 0.00200667 -0.0016382 -0.00928903 -0.00124635 0.00345902 0.00702074 0.00413718
203 068_S_1191 0.00216962 -0.0120671 -0.00865957 0.0202095 -0.0179309 0.00224562 -0.00697937 0.000600286 0.00344647 0.00180972
204 136_S_0184 0.0117425 0.000318199 0.00643516 -0.00479897 0.00197504 -0.00118429 0.00146013 -0.0145715 0.000232435 0.00507967
205 141_S_1024 -0.0164342 -0.0158239 0.0094764 -0.00480014 0.00357472 0.00739916 -0.00113993 0.00363572 -0.00071474 0.0071209
211 053_S_0507 -0.00534126 0.0180976 0.00052637 -0.0146451 -0.00564914 0.0145377 -0.000152896 0.00415635 0.00148625 -0.00286874
212 023_S_1126 -0.00520736 0.005872 -0.00530188 -0.000203791 3.51437e-06 0.00255852 -0.0118564 -0.0115474 0.00820709 -0.00197585
213 116_S_0752 0.0115677 0.00416375 0.00275081 0.000910733 -0.00365672 -0.00612545 -0.00385726 -0.00554866 -0.00573419 0.0135928
214 022_S_1394 0.00749029 0.000353538 -0.00214126 -0.00452068 0.0072134 -0.000553378 0.0107649 0.00206879 -0.00285729 0.00748794
215 116_S_0392 0.000252265 0.0148565 0.00132115 -0.00209509 -0.000663359 -0.00861341 0.0172102 0.00538073 0.00303663 -0.00217262
216 082_S_1119 -0.000814581 -0.00279577 -0.0102957 0.0109863 0.0160106 -0.00373013 0.00278691 -0.0149984 -0.000773151 0.016875
221 062_S_0730 -0.000106163 0.00245383 -0.00600595 0.0012901 0.0182475 0.00418594 0.001686 -0.00444373 -0.00558381 -0.00472897
223 133_S_0638 -0.0064854 -0.0141155 0.0184656 -0.0112564 -0.00272509 0.000788535 0.00391219 0.00700978 0.00484117 -0.010407
224 027_S_0179 -0.0105287 0.0201531 4.1756e-05 -0.00138877 0.00478014 0.00383341 -0.00253472 -0.00636531 0.0168289 -0.00821352
227 123_S_0050 -0.00586762 0.00733112 0.00428874 -0.000809005 -0.0136978 0.0157625 -0.0139695 -0.0101293 0.00391506 0.0115346
231 067_S_0029 0.0159881 -0.00227146 -0.00113752 -0.00262508 -0.00395672 -0.0158831 0.00232693 -0.0292497 0.00986811 0.004202
232 007_S_1339 -0.00492022 0.00159042 -0.0043227 -0.00428259 -0.00318001 -0.00735529 -0.00978427 -0.000687155 0.0203535 0.00697014
